gene	appris_tag	isoname
NDST1	appris_principal__1	NDST1-201
SYNPO	appris_principal__3	SYNPO-201
MYOZ3	appris_principal__1	MYOZ3-201
MYOZ3	appris_principal__1	MYOZ3-203
RBM22	appris_principal__1	RBM22-201
DCTN4	appris_principal__3	DCTN4-203
SMIM3	appris_principal__1	SMIM3-201
SMIM3	appris_principal__1	SMIM3-202
IRGM	appris_principal__1	IRGM-202
ZNF300	appris_principal__3	ZNF300-201
GPX3	appris_principal__2	GPX3-201
TNIP1	appris_principal__3	TNIP1-211
TNIP1	appris_principal__3	TNIP1-201
TNIP1	appris_principal__3	TNIP1-214
ANXA6	appris_principal__1	ANXA6-201
CCDC69	appris_principal__1	CCDC69-201
GM2A	appris_principal__1	GM2A-201
SLC36A3	appris_principal__1	SLC36A3-201
SLC36A2	appris_principal__1	SLC36A2-201
SLC36A1	appris_principal__1	SLC36A1-207
SLC36A1	appris_principal__1	SLC36A1-201
FAT2	appris_principal__1	FAT2-201
SPARC	appris_principal__1	SPARC-201
ATOX1	appris_principal__1	ATOX1-201
ATOX1	appris_principal__1	ATOX1-207
ATOX1	appris_principal__1	ATOX1-206
G3BP1	appris_principal__1	G3BP1-202
G3BP1	appris_principal__1	G3BP1-201
GLRA1	appris_principal__3	GLRA1-201
NMUR2	appris_principal__1	NMUR2-201
GRIA1	appris_principal__3	GRIA1-201
FAM114A2	appris_principal__1	FAM114A2-201
FAM114A2	appris_principal__1	FAM114A2-215
FAM114A2	appris_principal__1	FAM114A2-211
MFAP3	appris_principal__1	MFAP3-201
GALNT10	appris_principal__1	GALNT10-201
SAP30L	appris_principal__1	SAP30L-201
HAND1	appris_principal__1	HAND1-201
LARP1	appris_principal__2	LARP1-201
FAXDC2	appris_principal__1	FAXDC2-201
CNOT8	appris_principal__1	CNOT8-204
CNOT8	appris_principal__1	CNOT8-202
CNOT8	appris_principal__1	CNOT8-201
GEMIN5	appris_principal__1	GEMIN5-201
MRPL22	appris_principal__1	MRPL22-206
KIF4B	appris_principal__1	KIF4B-201
SGCD	appris_principal__4	SGCD-201
PPP1R2B	appris_principal__1	PPP1R2B-201
TIMD4	appris_principal__3	TIMD4-201
HAVCR1	appris_principal__3	HAVCR1-205
HAVCR1	appris_principal__3	HAVCR1-201
HAVCR2	appris_principal__2	HAVCR2-201
MED7	appris_principal__1	MED7-201
MED7	appris_principal__1	MED7-202
ITK	appris_principal__1	ITK-201
FAM71B	appris_principal__1	FAM71B-201
CYFIP2	appris_principal__1	CYFIP2-222
CYFIP2	appris_principal__1	CYFIP2-221
AC008676.3	appris_principal__1	AC008676.3-201
FNDC9	appris_principal__1	FNDC9-201
ADAM19	appris_principal__2	ADAM19-201
NIPAL4	appris_principal__1	NIPAL4-201
SOX30	appris_principal__4	SOX30-201
C5orf52	appris_principal__1	C5orf52-201
THG1L	appris_principal__1	THG1L-201
LSM11	appris_principal__1	LSM11-201
CLINT1	appris_principal__3	CLINT1-201
EBF1	appris_principal__1	EBF1-201
RNF145	appris_principal__3	RNF145-201
UBLCP1	appris_principal__1	UBLCP1-201
IL12B	appris_principal__1	IL12B-201
ADRA1B	appris_principal__1	ADRA1B-201
TTC1	appris_principal__1	TTC1-205
TTC1	appris_principal__1	TTC1-201
PWWP2A	appris_principal__1	PWWP2A-201
FABP6	appris_principal__1	FABP6-202
CCNJL	appris_principal__1	CCNJL-201
CCNJL	appris_principal__1	CCNJL-211
C1QTNF2	appris_principal__2	C1QTNF2-201
ZBED8	appris_principal__1	ZBED8-201
ZBED8	appris_principal__1	ZBED8-202
SLU7	appris_principal__1	SLU7-201
PTTG1	appris_principal__1	PTTG1-201
PTTG1	appris_principal__1	PTTG1-205
PTTG1	appris_principal__1	PTTG1-202
ATP10B	appris_principal__2	ATP10B-202
GABRB2	appris_principal__4	GABRB2-201
GABRB2	appris_principal__4	GABRB2-203
GABRA6	appris_principal__1	GABRA6-201
GABRA1	appris_principal__1	GABRA1-219
GABRA1	appris_principal__1	GABRA1-201
GABRA1	appris_principal__1	GABRA1-203
GABRA1	appris_principal__1	GABRA1-202
GABRA1	appris_principal__1	GABRA1-204
GABRA1	appris_principal__1	GABRA1-215
GABRA1	appris_principal__1	GABRA1-218
GABRA1	appris_principal__1	GABRA1-211
GABRG2	appris_principal__4	GABRG2-215
CCNG1	appris_principal__1	CCNG1-202
CCNG1	appris_principal__1	CCNG1-201
NUDCD2	appris_principal__1	NUDCD2-201
HMMR	appris_principal__3	HMMR-202
MAT2B	appris_principal__1	MAT2B-202
TENM2	appris_principal__1	TENM2-203
WWC1	appris_principal__3	WWC1-201
RARS1	appris_principal__1	RARS1-201
FBLL1	appris_principal__1	FBLL1-201
PANK3	appris_principal__1	PANK3-201
SLIT3	appris_principal__1	SLIT3-206
SPDL1	appris_principal__1	SPDL1-201
DOCK2	appris_principal__1	DOCK2-210
INSYN2B	appris_principal__1	INSYN2B-201
FOXI1	appris_principal__1	FOXI1-201
C5orf58	appris_principal__5	C5orf58-206
LCP2	appris_principal__1	LCP2-201
KCNIP1	appris_principal__3	KCNIP1-201
KCNMB1	appris_principal__1	KCNMB1-201
GABRP	appris_principal__1	GABRP-203
GABRP	appris_principal__1	GABRP-201
RANBP17	appris_principal__1	RANBP17-219
TLX3	appris_principal__1	TLX3-201
NPM1	appris_principal__1	NPM1-204
NPM1	appris_principal__1	NPM1-201
FGF18	appris_principal__1	FGF18-201
AC093246.1	appris_principal__1	AC093246.1-201
SMIM23	appris_principal__1	SMIM23-202
FBXW11	appris_principal__3	FBXW11-201
STK10	appris_principal__1	STK10-201
EFCAB9	appris_principal__1	EFCAB9-201
UBTD2	appris_principal__1	UBTD2-201
SH3PXD2B	appris_principal__1	SH3PXD2B-201
NEURL1B	appris_principal__1	NEURL1B-201
DUSP1	appris_principal__1	DUSP1-201
ERGIC1	appris_principal__1	ERGIC1-202
RPL26L1	appris_principal__1	RPL26L1-205
RPL26L1	appris_principal__1	RPL26L1-206
RPL26L1	appris_principal__1	RPL26L1-201
RPL26L1	appris_principal__1	RPL26L1-203
ATP6V0E1	appris_principal__1	ATP6V0E1-203
ATP6V0E1	appris_principal__1	ATP6V0E1-202
CREBRF	appris_principal__1	CREBRF-201
BNIP1	appris_principal__1	BNIP1-202
NKX2-5	appris_principal__1	NKX2-5-201
STC2	appris_principal__1	STC2-201
BOD1	appris_principal__1	BOD1-202
CPEB4	appris_principal__3	CPEB4-201
C5orf47	appris_principal__1	C5orf47-201
NSG2	appris_principal__1	NSG2-201
MSX2	appris_principal__1	MSX2-201
DRD1	appris_principal__1	DRD1-201
SFXN1	appris_principal__1	SFXN1-201
HRH2	appris_principal__5	HRH2-204
CPLX2	appris_principal__1	CPLX2-201
CPLX2	appris_principal__1	CPLX2-202
CPLX2	appris_principal__1	CPLX2-209
THOC3	appris_principal__1	THOC3-201
FAM153B	appris_principal__2	FAM153B-207
FAM153B	appris_principal__2	FAM153B-214
AC139491.7	appris_principal__1	AC139491.7-201
SIMC1	appris_principal__3	SIMC1-202
SIMC1	appris_principal__3	SIMC1-204
KIAA1191	appris_principal__3	KIAA1191-201
KIAA1191	appris_principal__3	KIAA1191-210
ARL10	appris_principal__1	ARL10-201
NOP16	appris_principal__1	NOP16-207
HIGD2A	appris_principal__1	HIGD2A-201
CLTB	appris_principal__4	CLTB-201
FAF2	appris_principal__1	FAF2-201
RNF44	appris_principal__1	RNF44-201
CDHR2	appris_principal__1	CDHR2-206
CDHR2	appris_principal__1	CDHR2-201
CDHR2	appris_principal__1	CDHR2-203
GPRIN1	appris_principal__1	GPRIN1-201
SNCB	appris_principal__1	SNCB-202
SNCB	appris_principal__1	SNCB-201
SNCB	appris_principal__1	SNCB-205
SNCB	appris_principal__1	SNCB-203
EIF4E1B	appris_principal__1	EIF4E1B-209
EIF4E1B	appris_principal__1	EIF4E1B-201
EIF4E1B	appris_principal__1	EIF4E1B-203
TSPAN17	appris_principal__3	TSPAN17-202
UNC5A	appris_principal__1	UNC5A-202
HK3	appris_principal__1	HK3-201
UIMC1	appris_principal__3	UIMC1-201
UIMC1	appris_principal__3	UIMC1-212
ZNF346	appris_principal__3	ZNF346-201
FGFR4	appris_principal__4	FGFR4-207
FGFR4	appris_principal__4	FGFR4-201
NSD1	appris_principal__4	NSD1-204
RAB24	appris_principal__1	RAB24-201
RAB24	appris_principal__1	RAB24-204
MXD3	appris_principal__1	MXD3-203
MXD3	appris_principal__1	MXD3-208
PRELID1	appris_principal__1	PRELID1-201
LMAN2	appris_principal__2	LMAN2-201
RGS14	appris_principal__1	RGS14-201
SLC34A1	appris_principal__1	SLC34A1-201
PFN3	appris_principal__1	PFN3-201
F12	appris_principal__1	F12-201
GRK6	appris_principal__3	GRK6-201
PRR7	appris_principal__1	PRR7-201
PRR7	appris_principal__1	PRR7-202
PRR7	appris_principal__1	PRR7-204
DBN1	appris_principal__3	DBN1-202
PDLIM7	appris_principal__1	PDLIM7-202
DOK3	appris_principal__1	DOK3-212
DOK3	appris_principal__1	DOK3-202
DOK3	appris_principal__1	DOK3-205
DDX41	appris_principal__1	DDX41-201
FAM193B	appris_principal__1	FAM193B-217
TMED9	appris_principal__1	TMED9-201
B4GALT7	appris_principal__1	B4GALT7-201
FAM153A	appris_principal__1	FAM153A-223
PROP1	appris_principal__1	PROP1-201
N4BP3	appris_principal__1	N4BP3-201
RMND5B	appris_principal__1	RMND5B-210
RMND5B	appris_principal__1	RMND5B-201
NHP2	appris_principal__1	NHP2-201
GMCL2	appris_principal__1	GMCL2-201
HNRNPAB	appris_principal__4	HNRNPAB-202
HNRNPAB	appris_principal__4	HNRNPAB-204
PHYKPL	appris_principal__1	PHYKPL-201
COL23A1	appris_principal__1	COL23A1-201
CLK4	appris_principal__1	CLK4-201
AC113348.1	appris_principal__1	AC113348.1-201
AC113348.2	appris_principal__1	AC113348.2-201
ZNF354A	appris_principal__1	ZNF354A-201
ZNF354B	appris_principal__1	ZNF354B-201
ZFP2	appris_principal__1	ZFP2-201
ZFP2	appris_principal__1	ZFP2-202
ZFP2	appris_principal__1	ZFP2-205
ZNF454	appris_principal__1	ZNF454-201
ZNF454	appris_principal__1	ZNF454-202
GRM6	appris_principal__1	GRM6-201
GRM6	appris_principal__1	GRM6-202
GRM6	appris_principal__1	GRM6-205
ZNF879	appris_principal__1	ZNF879-201
ZNF354C	appris_principal__1	ZNF354C-201
ADAMTS2	appris_principal__2	ADAMTS2-201
RUFY1	appris_principal__1	RUFY1-204
RUFY1	appris_principal__1	RUFY1-202
HNRNPH1	appris_principal__2	HNRNPH1-203
HNRNPH1	appris_principal__2	HNRNPH1-204
HNRNPH1	appris_principal__2	HNRNPH1-202
CBY3	appris_principal__1	CBY3-201
CANX	appris_principal__1	CANX-209
CANX	appris_principal__1	CANX-202
CANX	appris_principal__1	CANX-201
MAML1	appris_principal__1	MAML1-201
LTC4S	appris_principal__1	LTC4S-201
MGAT4B	appris_principal__1	MGAT4B-201
SQSTM1	appris_principal__1	SQSTM1-202
MRNIP	appris_principal__2	MRNIP-201
TBC1D9B	appris_principal__3	TBC1D9B-201
RNF130	appris_principal__2	RNF130-205
RASGEF1C	appris_principal__1	RASGEF1C-201
RASGEF1C	appris_principal__1	RASGEF1C-202
MAPK9	appris_principal__5	MAPK9-207
GFPT2	appris_principal__1	GFPT2-201
CNOT6	appris_principal__1	CNOT6-201
CNOT6	appris_principal__1	CNOT6-202
CNOT6	appris_principal__1	CNOT6-207
SCGB3A1	appris_principal__1	SCGB3A1-201
FLT4	appris_principal__3	FLT4-201
OR2Y1	appris_principal__1	OR2Y1-201
MGAT1	appris_principal__1	MGAT1-201
MGAT1	appris_principal__1	MGAT1-202
MGAT1	appris_principal__1	MGAT1-205
MGAT1	appris_principal__1	MGAT1-203
MGAT1	appris_principal__1	MGAT1-204
ZFP62	appris_principal__3	ZFP62-207
BTNL8	appris_principal__1	BTNL8-202
BTNL3	appris_principal__1	BTNL3-201
BTNL9	appris_principal__1	BTNL9-201
OR2V1	appris_principal__1	OR2V1-205
OR2V1	appris_principal__1	OR2V1-202
OR2V1	appris_principal__1	OR2V1-204
OR2V1	appris_principal__1	OR2V1-201
OR2V2	appris_principal__1	OR2V2-202
OR2V2	appris_principal__1	OR2V2-203
OR2V2	appris_principal__1	OR2V2-201
TRIM7	appris_principal__1	TRIM7-201
TRIM41	appris_principal__1	TRIM41-201
RACK1	appris_principal__1	RACK1-227
TRIM52	appris_principal__1	TRIM52-205
OR4F3	appris_principal__1	OR4F3-201
DUSP22	appris_principal__3	DUSP22-201
IRF4	appris_principal__1	IRF4-201
EXOC2	appris_principal__1	EXOC2-201
HUS1B	appris_principal__1	HUS1B-201
FOXQ1	appris_principal__1	FOXQ1-201
FOXF2	appris_principal__1	FOXF2-201
FOXC1	appris_principal__1	FOXC1-201
GMDS	appris_principal__1	GMDS-202
MYLK4	appris_principal__1	MYLK4-201
WRNIP1	appris_principal__2	WRNIP1-204
WRNIP1	appris_principal__2	WRNIP1-205
SERPINB1	appris_principal__1	SERPINB1-201
SERPINB9	appris_principal__1	SERPINB9-201
SERPINB6	appris_principal__3	SERPINB6-202
SERPINB6	appris_principal__3	SERPINB6-203
SERPINB6	appris_principal__3	SERPINB6-204
SERPINB6	appris_principal__3	SERPINB6-205
SERPINB6	appris_principal__3	SERPINB6-209
SERPINB6	appris_principal__3	SERPINB6-212
SERPINB6	appris_principal__3	SERPINB6-213
SERPINB6	appris_principal__3	SERPINB6-201
NQO2	appris_principal__1	NQO2-205
NQO2	appris_principal__1	NQO2-201
NQO2	appris_principal__1	NQO2-202
RIPK1	appris_principal__1	RIPK1-201
RIPK1	appris_principal__1	RIPK1-202
BPHL	appris_principal__3	BPHL-203
TUBB2A	appris_principal__1	TUBB2A-201
TUBB2B	appris_principal__1	TUBB2B-201
PSMG4	appris_principal__1	PSMG4-206
SLC22A23	appris_principal__2	SLC22A23-203
PXDC1	appris_principal__1	PXDC1-202
FAM50B	appris_principal__1	FAM50B-202
FAM50B	appris_principal__1	FAM50B-201
PRPF4B	appris_principal__1	PRPF4B-201
FAM217A	appris_principal__2	FAM217A-201
C6orf201	appris_principal__1	C6orf201-202
ECI2	appris_principal__3	ECI2-204
ECI2	appris_principal__3	ECI2-201
ECI2	appris_principal__3	ECI2-207
CDYL	appris_principal__1	CDYL-203
RPP40	appris_principal__2	RPP40-202
PPP1R3G	appris_principal__1	PPP1R3G-201
LYRM4	appris_principal__1	LYRM4-201
FARS2	appris_principal__1	FARS2-202
FARS2	appris_principal__1	FARS2-201
NRN1	appris_principal__1	NRN1-201
NRN1	appris_principal__1	NRN1-203
F13A1	appris_principal__1	F13A1-201
LY86	appris_principal__1	LY86-202
LY86	appris_principal__1	LY86-201
RREB1	appris_principal__1	RREB1-204
SSR1	appris_principal__2	SSR1-201
CAGE1	appris_principal__3	CAGE1-201
RIOK1	appris_principal__1	RIOK1-202
DSP	appris_principal__3	DSP-201
SNRNP48	appris_principal__1	SNRNP48-201
BMP6	appris_principal__1	BMP6-201
TXNDC5	appris_principal__1	TXNDC5-201
BLOC1S5-TXNDC5	appris_principal__1	BLOC1S5-TXNDC5-201
BLOC1S5	appris_principal__1	BLOC1S5-202
EEF1E1-BLOC1S5	appris_principal__1	EEF1E1-BLOC1S5-201
EEF1E1	appris_principal__1	EEF1E1-201
SLC35B3	appris_principal__2	SLC35B3-201
SLC35B3	appris_principal__2	SLC35B3-202
TFAP2A	appris_principal__3	TFAP2A-202
GCNT2	appris_principal__4	GCNT2-201
C6orf52	appris_principal__3	C6orf52-201
C6orf52	appris_principal__3	C6orf52-203
PAK1IP1	appris_principal__1	PAK1IP1-201
TMEM14C	appris_principal__1	TMEM14C-205
TMEM14C	appris_principal__1	TMEM14C-201
TMEM14B	appris_principal__1	TMEM14B-202
AL024498.2	appris_principal__1	AL024498.2-201
MAK	appris_principal__3	MAK-201
MAK	appris_principal__3	MAK-203
GCM2	appris_principal__1	GCM2-201
SYCP2L	appris_principal__1	SYCP2L-201
ELOVL2	appris_principal__1	ELOVL2-201
SMIM13	appris_principal__1	SMIM13-202
ERVFRD-1	appris_principal__1	ERVFRD-1-201
ERVFRD-1	appris_principal__1	ERVFRD-1-202
NEDD9	appris_principal__3	NEDD9-202
TMEM170B	appris_principal__1	TMEM170B-201
ADTRP	appris_principal__1	ADTRP-203
HIVEP1	appris_principal__2	HIVEP1-201
EDN1	appris_principal__1	EDN1-201
PHACTR1	appris_principal__1	PHACTR1-215
PHACTR1	appris_principal__1	PHACTR1-201
PHACTR1	appris_principal__1	PHACTR1-212
TBC1D7	appris_principal__1	TBC1D7-214
TBC1D7	appris_principal__1	TBC1D7-202
TBC1D7	appris_principal__1	TBC1D7-204
GFOD1	appris_principal__1	GFOD1-203
SIRT5	appris_principal__1	SIRT5-205
NOL7	appris_principal__1	NOL7-202
RANBP9	appris_principal__1	RANBP9-201
MCUR1	appris_principal__1	MCUR1-201
RNF182	appris_principal__1	RNF182-207
RNF182	appris_principal__1	RNF182-208
RNF182	appris_principal__1	RNF182-204
RNF182	appris_principal__1	RNF182-206
CD83	appris_principal__1	CD83-201
JARID2	appris_principal__3	JARID2-201
DTNBP1	appris_principal__3	DTNBP1-202
MYLIP	appris_principal__1	MYLIP-202
GMPR	appris_principal__1	GMPR-201
ATXN1	appris_principal__1	ATXN1-201
ATXN1	appris_principal__1	ATXN1-202
STMND1	appris_principal__1	STMND1-203
RBM24	appris_principal__1	RBM24-202
CAP2	appris_principal__1	CAP2-201
FAM8A1	appris_principal__1	FAM8A1-201
NUP153	appris_principal__3	NUP153-201
KIF13A	appris_principal__4	KIF13A-201
NHLRC1	appris_principal__1	NHLRC1-201
TPMT	appris_principal__1	TPMT-201
KDM1B	appris_principal__5	KDM1B-202
DEK	appris_principal__1	DEK-212
DEK	appris_principal__1	DEK-211
RNF144B	appris_principal__1	RNF144B-201
ID4	appris_principal__1	ID4-201
MBOAT1	appris_principal__1	MBOAT1-201
E2F3	appris_principal__3	E2F3-201
CDKAL1	appris_principal__1	CDKAL1-201
CDKAL1	appris_principal__1	CDKAL1-202
SOX4	appris_principal__1	SOX4-201
PRL	appris_principal__2	PRL-201
HDGFL1	appris_principal__1	HDGFL1-201
NRSN1	appris_principal__1	NRSN1-203
NRSN1	appris_principal__1	NRSN1-204
DCDC2	appris_principal__1	DCDC2-202
KAAG1	appris_principal__1	KAAG1-201
MRS2	appris_principal__3	MRS2-203
GPLD1	appris_principal__1	GPLD1-201
ALDH5A1	appris_principal__1	ALDH5A1-202
KIAA0319	appris_principal__3	KIAA0319-201
KIAA0319	appris_principal__3	KIAA0319-205
TDP2	appris_principal__1	TDP2-202
ACOT13	appris_principal__1	ACOT13-201
C6orf62	appris_principal__1	C6orf62-202
GMNN	appris_principal__1	GMNN-202
GMNN	appris_principal__1	GMNN-201
GMNN	appris_principal__1	GMNN-207
ARMH2	appris_principal__1	ARMH2-201
AL512428.1	appris_principal__1	AL512428.1-201
RIPOR2	appris_principal__4	RIPOR2-209
RIPOR2	appris_principal__4	RIPOR2-201
CARMIL1	appris_principal__1	CARMIL1-201
SCGN	appris_principal__1	SCGN-202
H2AC1	appris_principal__1	H2AC1-201
H2BC1	appris_principal__1	H2BC1-201
SLC17A4	appris_principal__3	SLC17A4-201
SLC17A1	appris_principal__1	SLC17A1-201
SLC17A1	appris_principal__1	SLC17A1-204
SLC17A3	appris_principal__1	SLC17A3-204
SLC17A2	appris_principal__1	SLC17A2-203
TRIM38	appris_principal__1	TRIM38-201
H1-1	appris_principal__1	H1-1-201
H3C1	appris_principal__1	H3C1-201
H4C1	appris_principal__1	H4C1-201
H4C2	appris_principal__1	H4C2-201
H3C2	appris_principal__1	H3C2-201
H2AC4	appris_principal__1	H2AC4-201
H2BC3	appris_principal__1	H2BC3-201
H3C3	appris_principal__1	H3C3-201
H1-2	appris_principal__1	H1-2-201
HFE	appris_principal__3	HFE-207
H4C3	appris_principal__1	H4C3-201
H1-6	appris_principal__1	H1-6-201
H2BC4	appris_principal__1	H2BC4-201
H2BC4	appris_principal__1	H2BC4-202
H2AC6	appris_principal__1	H2AC6-202
H2AC6	appris_principal__1	H2AC6-203
H1-4	appris_principal__1	H1-4-201
H2BC5	appris_principal__1	H2BC5-202
H2BC5	appris_principal__1	H2BC5-201
H2BC6	appris_principal__1	H2BC6-202
H2BC6	appris_principal__1	H2BC6-201
H4C4	appris_principal__1	H4C4-201
AL031777.2	appris_principal__1	AL031777.2-203
H3C4	appris_principal__1	H3C4-201
H2AC7	appris_principal__1	H2AC7-201
H2BC7	appris_principal__1	H2BC7-201
H4C5	appris_principal__1	H4C5-201
H2BC8	appris_principal__1	H2BC8-201
H2AC8	appris_principal__1	H2AC8-201
H3C6	appris_principal__1	H3C6-202
H3C6	appris_principal__1	H3C6-201
H1-3	appris_principal__1	H1-3-201
H4C6	appris_principal__1	H4C6-201
H4C7	appris_principal__1	H4C7-201
H3C7	appris_principal__1	H3C7-201
H2BC9	appris_principal__1	H2BC9-201
H3C8	appris_principal__1	H3C8-201
H2BC10	appris_principal__1	H2BC10-201
H4C8	appris_principal__1	H4C8-201
BTN3A2	appris_principal__3	BTN3A2-202
BTN3A2	appris_principal__3	BTN3A2-209
BTN3A2	appris_principal__3	BTN3A2-201
BTN3A2	appris_principal__3	BTN3A2-204
BTN2A2	appris_principal__1	BTN2A2-202
BTN2A2	appris_principal__1	BTN2A2-203
BTN3A1	appris_principal__1	BTN3A1-202
BTN3A3	appris_principal__1	BTN3A3-201
BTN2A1	appris_principal__1	BTN2A1-201
BTN1A1	appris_principal__1	BTN1A1-201
HMGN4	appris_principal__1	HMGN4-201
ABT1	appris_principal__1	ABT1-201
ZNF322	appris_principal__1	ZNF322-201
ZNF322	appris_principal__1	ZNF322-208
ZNF322	appris_principal__1	ZNF322-207
ZNF322	appris_principal__1	ZNF322-202
ZNF322	appris_principal__1	ZNF322-205
H2BC11	appris_principal__1	H2BC11-203
H2BC11	appris_principal__1	H2BC11-201
H2AC11	appris_principal__1	H2AC11-201
H4C9	appris_principal__1	H4C9-201
H2BC12	appris_principal__1	H2BC12-201
H2AC12	appris_principal__1	H2AC12-201
PRSS16	appris_principal__1	PRSS16-201
POM121L2	appris_principal__1	POM121L2-202
ZNF391	appris_principal__1	ZNF391-201
ZNF184	appris_principal__1	ZNF184-201
ZNF184	appris_principal__1	ZNF184-202
H2BC13	appris_principal__1	H2BC13-201
H2AC13	appris_principal__1	H2AC13-201
H3C10	appris_principal__1	H3C10-201
H2AC14	appris_principal__1	H2AC14-201
H2BC14	appris_principal__1	H2BC14-201
H4C11	appris_principal__1	H4C11-201
H4C12	appris_principal__1	H4C12-201
H2BC15	appris_principal__1	H2BC15-204
H2BC15	appris_principal__1	H2BC15-201
H2AC15	appris_principal__1	H2AC15-201
H2AC16	appris_principal__1	H2AC16-201
H1-5	appris_principal__1	H1-5-201
H3C11	appris_principal__1	H3C11-201
H4C13	appris_principal__1	H4C13-201
H3C12	appris_principal__1	H3C12-201
H2AC17	appris_principal__1	H2AC17-201
H2BC17	appris_principal__1	H2BC17-201
OR2B2	appris_principal__1	OR2B2-201
OR2B6	appris_principal__1	OR2B6-201
OR2B8P	appris_principal__1	OR2B8P-201
ZNF165	appris_principal__1	ZNF165-201
ZSCAN16	appris_principal__1	ZSCAN16-201
ZKSCAN8	appris_principal__1	ZKSCAN8-201
ZKSCAN8	appris_principal__1	ZKSCAN8-202
ZSCAN9	appris_principal__3	ZSCAN9-201
ZSCAN9	appris_principal__3	ZSCAN9-207
ZKSCAN4	appris_principal__1	ZKSCAN4-201
NKAPL	appris_principal__1	NKAPL-201
ZSCAN26	appris_principal__2	ZSCAN26-207
AL021997.3	appris_principal__1	AL021997.3-201
PGBD1	appris_principal__1	PGBD1-201
ZSCAN31	appris_principal__1	ZSCAN31-209
ZSCAN31	appris_principal__1	ZSCAN31-202
ZSCAN31	appris_principal__1	ZSCAN31-203
ZSCAN31	appris_principal__1	ZSCAN31-201
ZKSCAN3	appris_principal__1	ZKSCAN3-201
ZKSCAN3	appris_principal__1	ZKSCAN3-203
ZSCAN12	appris_principal__1	ZSCAN12-201
ZSCAN12	appris_principal__1	ZSCAN12-202
ZSCAN23	appris_principal__1	ZSCAN23-201
GPX6	appris_principal__2	GPX6-201
GPX5	appris_principal__1	GPX5-201
ZBED9	appris_principal__1	ZBED9-201
TRIM27	appris_principal__1	TRIM27-202
ZNF311	appris_principal__1	ZNF311-203
OR2W1	appris_principal__1	OR2W1-201
OR2B3	appris_principal__1	OR2B3-201
OR2J1	appris_principal__1	OR2J1-202
OR2J1	appris_principal__1	OR2J1-201
OR2J3	appris_principal__1	OR2J3-202
OR2J3	appris_principal__1	OR2J3-203
OR2J3	appris_principal__1	OR2J3-201
OR2J2	appris_principal__1	OR2J2-203
OR2J2	appris_principal__1	OR2J2-202
OR14J1	appris_principal__1	OR14J1-203
OR14J1	appris_principal__1	OR14J1-202
OR5V1	appris_principal__1	OR5V1-217
OR5V1	appris_principal__1	OR5V1-216
OR5V1	appris_principal__1	OR5V1-215
OR12D3	appris_principal__1	OR12D3-201
OR12D2	appris_principal__1	OR12D2-207
OR12D2	appris_principal__1	OR12D2-206
OR12D1	appris_principal__1	OR12D1-207
OR11A1	appris_principal__1	OR11A1-201
OR11A1	appris_principal__1	OR11A1-202
OR11A1	appris_principal__1	OR11A1-204
OR11A1	appris_principal__1	OR11A1-203
OR10C1	appris_principal__1	OR10C1-203
OR2H1	appris_principal__1	OR2H1-203
OR2H1	appris_principal__1	OR2H1-202
OR2H1	appris_principal__1	OR2H1-201
OR2H1	appris_principal__1	OR2H1-204
MAS1L	appris_principal__1	MAS1L-201
OR2I1P	appris_principal__1	OR2I1P-207
UBD	appris_principal__1	UBD-203
GABBR1	appris_principal__1	GABBR1-205
OR2H2	appris_principal__1	OR2H2-202
OR2H2	appris_principal__1	OR2H2-201
MOG	appris_principal__3	MOG-219
ZFP57	appris_principal__1	ZFP57-201
HLA-F	appris_principal__4	HLA-F-216
HLA-G	appris_principal__3	HLA-G-205
HLA-G	appris_principal__3	HLA-G-201
HLA-A	appris_principal__2	HLA-A-204
HLA-A	appris_principal__2	HLA-A-203
ZNRD1	appris_principal__1	ZNRD1-203
ZNRD1	appris_principal__1	ZNRD1-202
ZNRD1	appris_principal__1	ZNRD1-204
ZNRD1	appris_principal__1	ZNRD1-201
PPP1R11	appris_principal__1	PPP1R11-205
RNF39	appris_principal__1	RNF39-201
TRIM31	appris_principal__1	TRIM31-210
TRIM40	appris_principal__3	TRIM40-205
TRIM10	appris_principal__1	TRIM10-204
TRIM15	appris_principal__1	TRIM15-207
TRIM26	appris_principal__1	TRIM26-266
TRIM26	appris_principal__1	TRIM26-268
TRIM26	appris_principal__1	TRIM26-267
TRIM39	appris_principal__1	TRIM39-205
TRIM39	appris_principal__1	TRIM39-204
TRIM39	appris_principal__1	TRIM39-202
TRIM39-RPP21	appris_principal__1	TRIM39-RPP21-201
RPP21	appris_principal__3	RPP21-224
HLA-E	appris_principal__1	HLA-E-201
GNL1	appris_principal__1	GNL1-201
PRR3	appris_principal__1	PRR3-202
ABCF1	appris_principal__4	ABCF1-201
PPP1R10	appris_principal__1	PPP1R10-201
MRPS18B	appris_principal__1	MRPS18B-206
ATAT1	appris_principal__2	ATAT1-203
C6orf136	appris_principal__1	C6orf136-203
DHX16	appris_principal__1	DHX16-202
PPP1R18	appris_principal__1	PPP1R18-201
PPP1R18	appris_principal__1	PPP1R18-202
PPP1R18	appris_principal__1	PPP1R18-205
NRM	appris_principal__3	NRM-201
NRM	appris_principal__3	NRM-203
MDC1	appris_principal__1	MDC1-201
TUBB	appris_principal__1	TUBB-205
FLOT1	appris_principal__1	FLOT1-201
IER3	appris_principal__1	IER3-201
